Year_of_release,Total_movies_Netflix,Total_movies_Prime_Video,Total_movies_Disney
1954,2,14,4
1956,1,13,3
1958,1,9,1
1959,1,5,6
1960,1,6,1
1962,1,3,2
1963,1,8,3
1964,2,6,3
1966,1,7,1
1969,1,11,3
1970,1,16,1
1971,2,22,3
1972,1,13,3
1974,2,11,4
1975,3,11,4
1976,4,19,3
1977,1,7,7
1978,1,18,4
1979,8,20,5
1980,4,16,4
1981,6,15,3
1982,9,14,1
1983,3,14,2
1984,8,21,3
1985,3,19,5
1986,6,19,7
1987,4,20,6
1988,9,17,5
1989,8,29,4
1990,10,12,6
1991,10,18,2
1992,9,33,8
1993,10,15,10
1994,10,21,10
1995,6,30,13
1996,5,34,8
1997,12,29,12
1998,17,25,18
1999,11,36,14
2000,9,42,19
2001,20,39,15
2002,17,48,20
2003,18,35,28
2004,30,58,20
2005,25,66,28
2006,40,83,26
2007,35,90,17
2008,54,116,20
2009,62,101,28
2010,64,105,20
2011,70,131,26
2012,95,171,23
2013,106,205,18
2014,125,214,30
2015,172,200,16
2016,312,253,27
2017,449,284,28
2018,538,285,34
2019,571,254,50
2020,478,204,71
2021,201,63,28
